date,color
2022-01-05,white
2022-01-06,red
2022-01-07,white
2022-01-10,red
2022-01-11,red
2022-01-12,red
2022-01-13,red
2022-01-14,red
2022-01-15,white
2022-01-17,red
2022-01-18,red
2022-01-19,red
2022-01-20,red
2022-01-21,red
2022-01-22,white
2022-01-24,red
2022-01-25,red
2022-01-26,red
2022-01-27,red
2022-01-28,white
2022-01-31,white
2022-02-02,white
2022-02-03,white
2022-02-07,white
2022-02-08,white
2022-02-09,white
2022-02-10,white
2022-02-11,white
2022-02-23,white
2022-02-25,white
2022-02-28,white
2022-03-01,white
2022-03-02,white
2022-03-03,white
2022-03-07,white
2022-03-08,white
2022-04-04,white
2022-04-05,white
2022-04-06,white
2022-04-14,white
2022-05-24,white
2022-05-30,white
2022-05-31,white
2022-11-29,white
2022-11-30,white
2022-12-01,white
2022-12-02,white
2022-12-05,white
2022-12-06,white
2022-12-07,white
2022-12-08,red
2022-12-09,white
2022-12-10,white
2022-12-12,red
2022-12-13,red
2022-12-14,red
2022-12-15,white
2022-12-16,white
2022-12-17,white
