"date","value"
"01/1","Vasilis,Vasil,Vasilena"
"01/2","Abel,Basile"
"01/3","Jennifer,Jenny,Geneviève"
"01/4","Angel,Angela,Odlion"
"01/5","Edouard"
"01/6","Melaine"
"01/7","Raymond,Ivan,Ivana"
"01/8","Carla,Elvis,Lucien"
"01/9","Britney,Linda,Alix"
"01/10","Guillaume"
"01/11","Brad,Paulin"
"01/12","Alan,Tatiana"
"01/13","Yvette,Yvonne,Yvette"
"01/14","Felix,Nina"
"01/15","Martin,Rémi"
"01/16","Marcel"
"01/17","Anthony,Benjamin,Roseline"
"01/18","Prisca"
"01/19","Bob,Robert,Marius"
"01/20","Fabian,Sebastian,Sébastien"
"01/21","Agnes,Inez,Agnès"
"01/22","Vincent,Vincent"
"01/23","Ray,Raymond,Barnard"
"01/24","Tim"
"01/25","Paule"
"01/26","Conan"
"01/27","Angèle"
"01/28","Charlotte"
"01/29","Shelley,Shelly,Gildas"
"01/30","Franklin,Franklyn,Martine"
"01/31","Cyrus,Marcelle"
"02/1","Brigitte,Brittany,Ella"
"02/2","Présentation"
"02/3","Blaise"
"02/4","Gilbert,Véronique"
"02/5","Agatha,Agathe"
"02/6","Amanda,Dora,Gaston"
"02/7","Eugénie"
"02/8","Clyde,Jacqueline"
"02/9","Apolline"
"02/10","Arnaud"
"02/11","Adolfo"
"02/12","Félix"
"02/13","Béatrice"
"02/14","Valentine,Valentin"
"02/15","Georgia,Georgina,Claude"
"02/16","Jeremy,Julienne"
"02/17","Jordan,Jordana,Alexis"
"02/18","Bernadette"
"02/19","Conrad,Kurt,Gabin"
"02/20","Amy,Sidney,Aimée"
"02/21","Damien"
"02/22","George,Isabella,Isabelle"
"02/23","Lazare"
"02/24","Matt,Mathew,Modeste"
"02/25","Roméo"
"02/26","Nestor"
"02/27","Leander,Honorine"
"02/28","Romain"
"02/29","Auguste"
"03/1","Aubin"
"03/2","Chad"
"03/3","Alexander,Alexandra,Guénolé"
"03/4","Casimir"
"03/5","Karen,Olive"
"03/6","Colette"
"03/7","Félicité"
"03/8","Jean de Dieu"
"03/9","Klly,Françoise"
"03/10","Leslie,Vivien"
"03/11","Alberta,Rosine"
"03/12","Greg,Justine"
"03/13","Rodrigue"
"03/14","Mathilda,Mathilde"
"03/15","Louise,Louise"
"03/16","Melisa,Bénédicte"
"03/17","Patrick,Patti,Patrice"
"03/18","Salvador,Cyrille"
"03/19","Jose,Joseph"
"03/20","Drew,PRINTEMPS"
"03/21","Clémence"
"03/22","Lea,Léa"
"03/23","Pamela,Victorien"
"03/24","Gabriel,Gabriela"
"03/25","ANNONCIATION"
"03/26","Larissa"
"03/27","Habib"
"03/28","Gwen,Gontran"
"03/29","Gwladys"
"03/30","Amédée"
"03/31","Benjamin"
"04/1","Hugues"
"04/2","Sandrine"
"04/3","Richard"
"04/4","Isidore"
"04/5","Estella,Irène"
"04/6","Marcellin"
"04/7","Herman,J-P de La Salle"
"04/8","Julie"
