"date","value"
"01/1","Journée mondiale de la Paix"
"01/4","Journée mondiale du Braille"
"01/6","Journée mondiale des Orphelins de la guerre"
"01/21","Journée mondiale des Câlins"
"01/26","Journée mondiale de la Douane et sur l'Éthique"
"01/27","Journée internationale de commémoration en mémoire des victimes de l'Holocauste"
"02/2","Journée mondiale des Zones humides"
"02/4","Journée mondiale contre le Cancer"
"02/6","Journée mondiale contre les mutilations génitales"
"02/6","Journée mondiale sans téléphone portable"
"02/7","Journée mondiale sans téléphone portable"
"02/8","Journée mondiale sans téléphone portable"
"02/12","Journée Darwin"
"02/12","Journée mondiale des enfants soldats"
"02/13","Journée mondiale de la radio"
"02/14","Journée internationale de sensibilisation aux cardiopathies congénitales"
"02/15","Journée mondiale contre le Cancer chez l'enfant"
"02/16","Journée mondiale contre les crimes en R.D.Congo"
"02/20","Journée mondiale de la justice sociale"
"02/21","Journée mondiale de la Langue maternelle"
"02/22","Journée mondiale de la Pensée"
"02/26","Journée mondiale d'action contre l'ordonnance sur les brevets en Inde"
"02/28","Journée européenne des Maladies rares"
"03/1","Journée mondiale de la Protection civile"
"03/4","Journée internationale du Tennis"
"03/8","Journée internationale des femmes"
"03/11","Journée mondiale de la plomberie"
"03/12","Journée mondiale contre la censure sur Internet"
"03/15","Journée mondiale contre la brutalité policière"
"03/15","Journée internationale des Droits des consommateur"
"03/18","Journée mondiale de la Trisomie 21"
"03/20","Journée mondiale du bonheur"
"03/20","Journée internationale de la Francophonie"
"03/20","Journée internationale sans viande"
"03/20","Journée mondiale du conte"
"03/21","Journée internationale du Norouz"
"03/21","Journée internationale pour l'élimination de la discrimination raciale"
"03/21","Journée mondiale de la Poésie"
"03/21","Journée mondiale de la Trisomie 21"
"03/22","Journée mondiale de l'eau"
"03/23","Journée météorologique mondiale"
"03/24","Journée mondiale de la Tuberculose"
"03/25","Journée internationale du souvenir des victimes de l'esclavage et de la traite transatlantique"
"03/27","Journée mondiale du Théâtre"
"04/2","Journée mondiale de sensibilisation à l'autisme"
"04/4","Journée internationale pour la sensibilisation aux mines et l'assistance à la lutte antimines (déminage humanitaire)"
"04/7","Journée mondiale de la santé"
"04/8","Journée internationale des Roms"
"04/11","Journée mondiale de la maladie de Parkinson"
"04/12","Journée mondiale d'action des dépenses militaires"
"04/16","Journée mondiale de la Voix"
"04/17","Journée mondiale de l'Hémophilie"
"04/22","Journée mondiale de la Terre"
"04/23","Journée mondiale du livre et du droit d'auteur"
"04/25","Journée mondiale du Paludisme"
"04/26","Journée mondiale de la Propriété intellectuelle"
"04/27","Journée internationale du Jazz"
"04/28","Journée internationale des accidents de travail"
"04/29","Journée internationale de la Danse"
"05/3","Journée internationale de la Liberté de la presse"
"05/5","Journée mondiale de l'hygiène des mains"
"05/5","Journée internationale de la sage-femme"
"05/6","Journée internationale sans régime"
"05/7","Journée mondiale des orphelins du SIDA"
"05/8","Journée internationale du Mouvement international de la Croix-Rouge et du Croissant-Rouge"
"05/8","Journées du Souvenir et de la réconciliation en l'honneur des morts de la Seconde Guerre mondiale"
"05/9","Journée de l'Europe"
"05/11","Journée des espèces menacées"
"05/12","Journée internationale de l'infirmière"
"05/15","Journée internationale des familles"
"05/17","Journée mondiale de la société de l'information"
"05/17","Journée des télécommunications"
"05/17","Journée mondiale de lutte contre l'homophobie"
"05/18","Journée internationale des musées"
"05/20","Journée européenne de la Mer"
"05/21","Journée mondiale de la diversité culturelle pour le dialogue et le développement"
"05/22","Journée internationale de la biodiversité"
"05/25","Journée internationale des enfants disparus"
"05/25","Journée mondiale de l'Afrique"
"05/25","Journée internationale de la serviette"
"05/28","Journée internationale d'action pour la santé des femmes"
"05/29","Journée internationale des soldats de la paix"
"05/31","Journée mondiale sans tabac"
"06/1","Journée internationale des enfants"
"06/4","Journée internationale des enfants victimes d'agression"
"06/5","Journée mondiale de l'environnement"
"06/7","Journée mondiale de sécurité routière aux passages à niveau"
"06/8","Journée mondiale de l'Océan"
"06/9","Journée internationale des archives"
"06/11","Journée mondiale du tricot"
"06/12","Journée mondiale contre le travail des enfants"
"06/14","Journée mondiale du don de sang"
"06/15","Journée mondiale de lutte contre la maltraitance des personnes âgées"
"06/15","Journée mondiale contre la faim"
"06/15","Journée européenne de l'énergie éolienne"
"06/16","Journée de l'enfant africain"
"06/17","Journée mondiale de la lutte contre la désertification et la sécheresse"
"06/19","Journée mondiale du tricot"
"06/19","Journée mondiale de lutte contre la drépanocytose"
"06/20","Journée mondiale des réfugiés"
"06/20","Journée européenne de la mer"
"06/21","Fête de la musique"
"06/23","Journée des Nations Unies pour la fonction publique"
"06/23","Journée internationale des veuves"
"06/26","Journée internationale contre l'abus et le trafic illicite des drogues"
"06/26","Journée internationale contre la torture"
"06/28","Capslock Day"
"07/11","Journée mondiale de la population"
"07/20","Journée africaine de l'écologie"
"07/29","Journée internationale pour la diversité socio-culturelle et pour la lutte contre la discrimination"
"07/30","Journée internationale de l'amitié"
"08/8","Journée internationale du chat"
"08/9","Journée internationale des populations autochtones"
"08/12","Journée internationale de la jeunesse"
"08/13","Journée internationale des gauchers"
